league_id,league_name,match_id,team,opponent,side,result,win,pos1_player,pos1_hero,pos1_lh_5m,pos1_networth_6m,enemy_pos1_player,enemy_pos1_hero,enemy_pos1_networth_6m,pos1_vs_enemy_pos1_diff_6m,enemy_pos3_player,enemy_pos3_hero,enemy_pos3_networth_6m,pos1_vs_enemy_pos3_diff_6m,team_networth_6m,enemy_team_networth_6m,team_networth_diff_6m,pos1_kda_6m,pos1_role_source,enemy_pos1_role_source,enemy_pos3_role_source
19696,DreamLeague Season 29,8809159511,VG,TSpirit,Radiant,负,0,pUx,kez,20,2165,兜圈。,alchemist,2680,-515,pos3jungler,primal_beast,2510,-345,10186,9788,398,0/0/0,league_roster,league_roster,league_roster
19696,DreamLeague Season 29,8809159511,TSpirit,VG,Dire,胜,1,兜圈。,alchemist,23,2680,pUx,kez,2165,515,`#t.,bristleback,2646,34,9788,10186,-398,1/1/1,league_roster,league_roster,league_roster
19696,DreamLeague Season 29,8809166456,Aurora,Liquid,Radiant,胜,1,`!,tiny,28,2637,uǍ,nevermore,2717,-80,50centaur,pangolier,2466,171,9179,9799,-620,0/0/1,league_roster,league_roster,league_roster
19696,DreamLeague Season 29,8809166456,Liquid,Aurora,Dire,负,0,uǍ,nevermore,32,2717,`!,tiny,2637,80,Щa,magnataur,2113,604,9799,9179,620,0/0/0,league_roster,league_roster,league_roster
19696,DreamLeague Season 29,8809158835,VP,FLCN,Radiant,胜,1,nokia,lone_druid,23,2357,,alchemist,2612,-255,,dawnbreaker,2219,138,9039,10017,-978,0/1/0,league_roster,league_roster,league_roster
19696,DreamLeague Season 29,8809158835,FLCN,VP,Dire,负,0,,alchemist,23,2612,nokia,lone_druid,2357,255,saberlight,axe,2529,83,10017,9039,978,1/0/0,league_roster,league_roster,league_roster
19696,DreamLeague Season 29,8809158915,GL,EX-ROIC,Radiant,负,0,鬼,tiny,22,2149,.tv/yumadota2,kez,2645,-496,GAMBOT-PARIS,shredder,2164,-15,8380,8977,-597,0/0/0,league_roster,league_roster,league_roster
19696,DreamLeague Season 29,8809158915,EX-ROIC,GL,Dire,胜,1,.tv/yumadota2,kez,23,2645,鬼,tiny,2149,496,помойка,slardar,1976,669,8977,8380,597,1/0/0,league_roster,league_roster,league_roster
19696,DreamLeague Season 29,8809227928,Liquid,Aurora,Radiant,胜,1,`,luna,24,2273,зݵ,windrunner,2538,-265,Ǎ,largo,2488,-215,9680,9596,84,0/1/1,league_roster,league_roster,league_roster
19696,DreamLeague Season 29,8809227928,Aurora,Liquid,Dire,负,0,зݵ,windrunner,27,2538,`,luna,2273,265,`^8,slardar,2342,196,9596,9680,-84,0/0/1,league_roster,league_roster,league_roster
19696,DreamLeague Season 29,8809246462,EX-HERO,GL,Radiant,胜,1,.tv/yumadota2,alchemist,21,3354,鬼,chaos_knight,2356,998,помойка,lycan,2431,923,10453,8813,1640,2/0/0,league_roster,league_roster,league_roster
19696,DreamLeague Season 29,8809246462,GL,EX-HERO,Dire,负,0,鬼,chaos_knight,23,2356,.tv/yumadota2,alchemist,3354,-998,GAMBOT-PARIS,tidehunter,2144,212,8813,10453,-1640,0/0/2,league_roster,league_roster,league_roster
19696,DreamLeague Season 29,8809244962,TSpirit,VG,Radiant,胜,1,兜圈。,alchemist,30,2621,D9,windrunner,2422,199,,shredder,2474,147,9182,9701,-519,0/1/0,league_roster,league_roster,league_roster
19696,DreamLeague Season 29,8809244962,VG,TSpirit,Dire,负,0,D9,windrunner,25,2422,兜圈。,alchemist,2621,-199,pos3jungler,legion_commander,2204,218,9701,9182,519,0/0/0,league_roster,league_roster,league_roster
19696,DreamLeague Season 29,8809303579,Aurora,Liquid,Radiant,负,0,0̯H,windrunner,28,3414,@,luna,2300,1114,s͠,slardar,2089,1325,10815,9197,1618,2/0/0,league_roster,league_roster,league_roster
19696,DreamLeague Season 29,8809303579,Liquid,Aurora,Dire,胜,1,@,luna,24,2300,0̯H,windrunner,3414,-1114,ڳH,abyssal_underlord,2523,-223,9197,10815,-1618,0/1/0,league_roster,league_roster,league_roster
19696,DreamLeague Season 29,8809242493,FLCN,VP,Radiant,胜,1,v:,life_stealer,24,2433,nokia,windrunner,2594,-161,saberlight,abyssal_underlord,2222,211,9373,9589,-216,0/0/1,league_roster,league_roster,league_roster
19696,DreamLeague Season 29,8809242493,VP,FLCN,Dire,负,0,nokia,windrunner,24,2594,v:,life_stealer,2433,161,,tidehunter,2565,29,9589,9373,216,0/0/0,league_roster,league_roster,league_roster
19696,DreamLeague Season 29,8809373469,RKX,BetBoom,Radiant,负,0,`ND,kez,22,2495,P.,tiny,2553,-58,Р!R,tidehunter,2036,459,9156,9573,-417,0/0/1,league_roster,league_roster,league_roster
19696,DreamLeague Season 29,8809373469,BetBoom,RKX,Dire,胜,1,P.,tiny,29,2553,`ND,kez,2495,58,underrated,shredder,2287,266,9573,9156,417,0/1/0,league_roster,league_roster,league_roster
19696,DreamLeague Season 29,8809385333,NGX,NAVI,Radiant,负,0,jL,kez,19,2258,winter,ursa,1923,335,ƬψƬ ☢ Sιrιus-妥,axe,2319,-61,9941,8420,1521,0/0/0,league_roster,league_roster,league_roster
19696,DreamLeague Season 29,8809385333,NAVI,NGX,Dire,胜,1,winter,ursa,13,1923,jL,kez,2258,-335,Ͼ,viper,2460,-537,8420,9941,-1521,1/1/0,league_roster,league_roster,league_roster
19696,DreamLeague Season 29,8809412954,PV,Tundra,Radiant,胜,1,destroy,tiny,24,2201,Preacher Man,lone_druid,2834,-633,not human (животное),batrider,2653,-452,8774,9383,-609,0/1/0,league_roster,league_roster,league_roster
19696,DreamLeague Season 29,8809412954,Tundra,PV,Dire,负,0,Preacher Man,lone_druid,31,2834,destroy,tiny,2201,633,strafe instructor,abyssal_underlord,1807,1027,9383,8774,609,1/0/0,league_roster,league_roster,league_roster
19696,DreamLeague Season 29,8809425113,FLCN,VP,Radiant,胜,1,pT,alchemist,25,2291,nokia,furion,2599,-308,saberlight,tidehunter,2402,-111,9602,9621,-19,0/0/0,league_roster,league_roster,league_roster
19696,DreamLeague Season 29,8809425113,VP,FLCN,Dire,负,0,nokia,furion,30,2599,pT,alchemist,2291,308,fG>,shredder,2821,-222,9621,9602,19,0/0/1,league_roster,league_roster,league_roster
19696,DreamLeague Season 29,8809470214,RKX,BetBoom,Radiant,负,0,yR,terrorblade,20,2519,07,life_stealer,2379,140,W,lycan,2256,263,9315,9256,59,1/0/0,league_roster,league_roster,league_roster
19696,DreamLeague Season 29,8809470214,BetBoom,RKX,Dire,胜,1,07,life_stealer,24,2379,yR,terrorblade,2519,-140,underrated,largo,2311,68,9256,9315,-59,0/0/0,league_roster,league_roster,league_roster
19696,DreamLeague Season 29,8809490207,NGX,NAVI,Radiant,负,0,rin,tiny,26,2509,winter,necrolyte,2490,19,ƬψƬ ☢ Sιrιus-妥,axe,2540,-31,9944,8807,1137,0/0/1,league_roster,league_roster,league_roster
19696,DreamLeague Season 29,8809490207,NAVI,NGX,Dire,胜,1,winter,necrolyte,26,2490,rin,tiny,2509,-19,malrincyq,bristleback,2914,-424,8807,9944,-1137,0/1/0,league_roster,league_roster,league_roster
