league_id,league_name,match_id,radiant_team,dire_team,winner,radiant_pos1_player,radiant_pos1_hero,radiant_pos1_networth_6m,radiant_pos1_networth_10m,radiant_pos1_role_source,radiant_pos2_player,radiant_pos2_hero,radiant_pos2_networth_6m,radiant_pos2_networth_10m,radiant_pos2_role_source,radiant_pos3_player,radiant_pos3_hero,radiant_pos3_networth_6m,radiant_pos3_networth_10m,radiant_pos3_role_source,radiant_pos4_player,radiant_pos4_hero,radiant_pos4_networth_6m,radiant_pos4_networth_10m,radiant_pos4_role_source,radiant_pos5_player,radiant_pos5_hero,radiant_pos5_networth_6m,radiant_pos5_networth_10m,radiant_pos5_role_source,dire_pos1_player,dire_pos1_hero,dire_pos1_networth_6m,dire_pos1_networth_10m,dire_pos1_role_source,dire_pos2_player,dire_pos2_hero,dire_pos2_networth_6m,dire_pos2_networth_10m,dire_pos2_role_source,dire_pos3_player,dire_pos3_hero,dire_pos3_networth_6m,dire_pos3_networth_10m,dire_pos3_role_source,dire_pos4_player,dire_pos4_hero,dire_pos4_networth_6m,dire_pos4_networth_10m,dire_pos4_role_source,dire_pos5_player,dire_pos5_hero,dire_pos5_networth_6m,dire_pos5_networth_10m,dire_pos5_role_source
19099,BLAST SLAM VI,8675766030,GL,FLCN,GL,R,viper,2520,3878,fallback_lh5,)),storm_spirit,2560,4491,league_roster,j؞,centaur,1710,3570,league_roster,happy frogs,dark_willow,897,1608,league_roster,@pŔ,warlock,915,1786,league_roster,I m Going To Be The Best Carry,abaddon,2241,4250,league_roster,PMA(учусь играть),beastmaster,3155,4848,league_roster,SumaoKy-,pangolier,1871,4231,league_roster,Cr1t-,hoodwink,917,1411,league_roster,Sneyking,jakiro,723,1237,league_roster
19099,BLAST SLAM VI,8675768384,Tundra,RKX,Tundra,?gޒ,slark,2080,3792,league_roster,Lennart Karl,invoker,2311,4081,league_roster,not human (животное),batrider,1913,3263,league_roster,Ari,tiny,1174,1841,league_roster,NongMon,mirana,1145,1390,league_roster,🥀🥀,windrunner,2875,4541,league_roster,GUCCI,kunkka,2515,4250,league_roster,aaa,tidehunter,2023,3084,league_roster,#,shadow_demon,666,1412,league_roster,S<,faceless_void,949,1404,league_roster
19099,BLAST SLAM VI,8675821146,TSpirit,NAVI,TSpirit,霜雪,weaver,2107,4123,league_roster,meowrele,ember_spirit,2530,4751,fallback_lh5,ǔ,tidehunter,2084,4084,league_roster,<Ғ,shadow_shaman,1217,2027,fallback_lh5,sustain,treant,1221,2175,league_roster,P*_,gyrocopter,2807,5198,league_roster,,wisp,2136,3224,league_roster,1111111111111111111111111111111,batrider,2615,4813,league_roster,33a9ccc,marci,1020,1353,league_roster,oؒ,disruptor,969,1193,league_roster
19099,BLAST SLAM VI,8675848583,TY,HEROIC,HEROIC,Narumi,luna,2663,4140,league_roster,CHIRA_JUNIOR,beastmaster,2363,4082,league_roster,strafe instructor,centaur,2448,4202,league_roster,@'֒,shadow_demon,1379,2009,league_roster,Pohn Jork,mirana,1344,2518,league_roster,Yuma,meepo,2657,4766,league_roster,a,viper,2756,4985,league_roster,-+,tidehunter,2457,4146,league_roster,lyct,marci,1124,1571,league_roster,@,chen,1636,2552,league_roster
19099,BLAST SLAM VI,8675882674,Liquid,OG,OG,yondaime,windrunner,2056,3247,league_roster,мусор,huskar,2226,4001,league_roster,50centaur,kunkka,2703,4626,league_roster,Boxi,tusk,845,1071,league_roster,V,batrider,1516,2047,league_roster,sonny hayes,templar_assassin,2427,4799,league_roster,Rasmus?,leshrac,2364,4176,league_roster,mam_bayotay,brewmaster,2110,3261,fallback_lh5,DEKALIBRE,skywrath_mage,1179,1808,league_roster,mam_ba,rattletrap,850,1710,league_roster
19099,BLAST SLAM VI,8675934481,MOUZ,XG,XG,KITR,razor,2635,4505,league_roster,I SPIT ON YOUR FACE,leshrac,2193,3667,league_roster,Strach,brewmaster,1844,3017,league_roster,mid two,tusk,1262,2068,league_roster,Seleri,snapfire,1111,1698,fallback_lh5,念头通达,weaver,2725,5062,league_roster,NothingToSay,tiny,2385,3952,league_roster,*y,primal_beast,2021,4691,league_roster,j,batrider,935,1939,league_roster,lavie,largo,1135,1471,league_roster
19099,BLAST SLAM VI,8675957583,RKX,FLCN,FLCN,🥀🥀,naga_siren,2296,3860,league_roster,GUCCI,puck,2684,4413,league_roster,aaa,centaur,2340,4256,league_roster,reckless,muerta,1343,1984,league_roster,enj0y,jakiro,748,1384,league_roster,I m Going To Be The Best Carry,clinkz,2276,4281,league_roster,PMA(учусь играть),primal_beast,3297,5514,league_roster,SumaoKy-,mars,2732,4308,league_roster,`ߔ,shadow_demon,1101,2145,league_roster,0},treant,1407,2161,league_roster
19099,BLAST SLAM VI,8676004943,GL,HEROIC,GL,бN,abaddon,2155,3792,fallback_lh5,)),storm_spirit,2006,3525,league_roster,помойка,abyssal_underlord,2758,5443,league_roster,-Ʃ,dark_willow,1129,1773,league_roster,Speeed,warlock,850,1240,league_roster,[o,broodmother,2091,3605,league_roster,a,sniper,2831,4554,league_roster,Wisper,mars,2322,4020,league_roster,lyct,shadow_shaman,1244,1784,league_roster,`,chen,1168,2558,league_roster
19099,BLAST SLAM VI,8676043517,Tundra,NAVI,NAVI,Lost in the world,slark,2310,3938,league_roster,Lennart Karl,beastmaster,2636,4534,league_roster,@,batrider,2685,4426,league_roster,Ari,marci,1210,1601,league_roster,],dazzle,608,1358,league_roster,nessecary,nevermore,2370,4332,league_roster,ссс,puck,2114,4147,league_roster,1111111111111111111111111111111,mars,2054,3506,league_roster,33a9ccc,treant,1168,1567,league_roster,:,rattletrap,1164,1645,league_roster
19099,BLAST SLAM VI,8676133151,TY,XG,TY,Narumi,razor,2501,4144,league_roster,CHIRA_JUNIOR,kunkka,2731,4532,league_roster,0~,abyssal_underlord,2554,4116,league_roster,lostreak chicken,shadow_shaman,1573,2389,league_roster,Pohn Jork,treant,1441,2016,league_roster,`oM',muerta,2223,3478,league_roster,NothingToSay,tiny,2515,3740,league_roster,@,mars,2387,3315,league_roster,其疾如风,dark_willow,1112,1881,league_roster,lavie,largo,1037,1434,league_roster
